storm_id,name,start_time,basin,event,storm_type,storm_cat,lon,lat
2025-EP-11,Kiko,2025-08-30T23:00:00-10:00,CP,11,H,H4,-158.1,22.9
2026-SH-03,Three,2025-09-09T10:00:00+04:00,SH,3,TC,TS,65.4,-10.5
